==> (2022, 8, 13, 1, 41, 8) | [log] !图片进度: (13/26)
==> (2022, 8, 13, 1, 41, 9) | [log] 下载图片并保存为./out/capture002/page13..jpg完成...
==> (2022, 8, 13, 1, 41, 9) | [log] !图片进度: (14/26)
==> (2022, 8, 13, 1, 41, 9) | [log] 下载图片并保存为./out/capture002/page14..jpg完成...
==> (2022, 8, 13, 1, 41, 9) | [log] !图片进度: (15/26)
==> (2022, 8, 13, 1, 41, 11) | [log] 下载图片并保存为./out/capture002/page15..jpg完成...
==> (2022, 8, 13, 1, 41, 11) | [log] !图片进度: (16/26)
==> (2022, 8, 13, 1, 41, 12) | [log] 下载图片并保存为./out/capture002/page16..jpg完成...
==> (2022, 8, 13, 1, 41, 12) | [log] !图片进度: (17/26)
==> (2022, 8, 13, 1, 41, 14) | [log] 下载图片并保存为./out/capture002/page17..jpg完成...
==> (2022, 8, 13, 1, 41, 14) | [log] !图片进度: (18/26)
==> (2022, 8, 13, 1, 41, 15) | [log] 下载图片并保存为./out/capture002/page18..jpg完成...
==> (2022, 8, 13, 1, 41, 15) | [log] !图片进度: (19/26)
==> (2022, 8, 13, 1, 41, 16) | [log] 下载图片并保存为./out/capture002/page19..jpg完成...
==> (2022, 8, 13, 1, 41, 16) | [log] !图片进度: (20/26)
==> (2022, 8, 13, 1, 41, 17) | [log] 下载图片并保存为./out/capture002/page20..jpg完成...
==> (2022, 8, 13, 1, 41, 17) | [log] !图片进度: (21/26)
==> (2022, 8, 13, 1, 41, 18) | [log] 下载图片并保存为./out/capture002/page21..jpg完成...
==> (2022, 8, 13, 1, 41, 18) | [log] !图片进度: (22/26)
==> (2022, 8, 13, 1, 41, 19) | [log] 下载图片并保存为./out/capture002/page22..jpg完成...
==> (2022, 8, 13, 1, 41, 19) | [log] !图片进度: (23/26)
==> (2022, 8, 13, 1, 41, 20) | [log] 下载图片并保存为./out/capture002/page23..jpg完成...
==> (2022, 8, 13, 1, 41, 20) | [log] !图片进度: (24/26)
==> (2022, 8, 13, 1, 41, 21) | [log] 下载图片并保存为./out/capture002/page24..jpg完成...
==> (2022, 8, 13, 1, 41, 21) | [log] !图片进度: (25/26)
==> (2022, 8, 13, 1, 41, 22) | [log] 下载图片并保存为./out/capture002/page25..jpg完成...
==> (2022, 8, 13, 1, 41, 22) | [log] !图片进度: (26/26)
==> (2022, 8, 13, 1, 41, 22) | [log] 下载图片并保存为./out/capture002/page26..jpg完成...
==> (2022, 8, 13, 1, 41, 22) | [log] !!!章节进度: 3(1-232) (3/232)
==> (2022, 8, 13, 1, 41, 22) | [debug] 创建目录./out/capture003/
==> (2022, 8, 13, 1, 41, 23) | [log] !图片进度: (1/21)
==> (2022, 8, 13, 1, 41, 24) | [log] 下载图片并保存为./out/capture003/page01..jpg完成...
==> (2022, 8, 13, 1, 41, 24) | [log] !图片进度: (2/21)
==> (2022, 8, 13, 1, 41, 26) | [log] 下载图片并保存为./out/capture003/page02..jpg完成...
==> (2022, 8, 13, 1, 41, 26) | [log] !图片进度: (3/21)
==> (2022, 8, 13, 1, 41, 28) | [log] 下载图片并保存为./out/capture003/page03..jpg完成...
==> (2022, 8, 13, 1, 41, 28) | [log] !图片进度: (4/21)
==> (2022, 8, 13, 1, 41, 29) | [log] 下载图片并保存为./out/capture003/page04..jpg完成...
==> (2022, 8, 13, 1, 41, 29) | [log] !图片进度: (5/21)
==> (2022, 8, 13, 1, 41, 30) | [log] 下载图片并保存为./out/capture003/page05..jpg完成...
==> (2022, 8, 13, 1, 41, 30) | [log] !图片进度: (6/21)
==> (2022, 8, 13, 1, 41, 31) | [log] 下载图片并保存为./out/capture003/page06..jpg完成...
==> (2022, 8, 13, 1, 41, 31) | [log] !图片进度: (7/21)
==> (2022, 8, 13, 1, 41, 32) | [log] 下载图片并保存为./out/capture003/page07..jpg完成...
==> (2022, 8, 13, 1, 41, 32) | [log] !图片进度: (8/21)
==> (2022, 8, 13, 1, 41, 34) | [log] 下载图片并保存为./out/capture003/page08..jpg完成...
==> (2022, 8, 13, 1, 41, 34) | [log] !图片进度: (9/21)
==> (2022, 8, 13, 1, 41, 35) | [log] 下载图片并保存为./out/capture003/page09..jpg完成...
==> (2022, 8, 13, 1, 41, 35) | [log] !图片进度: (10/21)
==> (2022, 8, 13, 1, 41, 37) | [log] 下载图片并保存为./out/capture003/page10..jpg完成...
==> (2022, 8, 13, 1, 41, 37) | [log] !图片进度: (11/21)
==> (2022, 8, 13, 1, 41, 38) | [log] 下载图片并保存为./out/capture003/page11..jpg完成...
==> (2022, 8, 13, 1, 41, 38) | [log] !图片进度: (12/21)
==> (2022, 8, 13, 1, 41, 39) | [log] 下载图片并保存为./out/capture003/page12..jpg完成...
==> (2022, 8, 13, 1, 41, 39) | [log] !图片进度: (13/21)
==> (2022, 8, 13, 1, 41, 41) | [log] 下载图片并保存为./out/capture003/page13..jpg完成...
==> (2022, 8, 13, 1, 41, 41) | [log] !图片进度: (14/21)
==> (2022, 8, 13, 1, 41, 42) | [log] 下载图片并保存为./out/capture003/page14..jpg完成...
==> (2022, 8, 13, 1, 41, 42) | [log] !图片进度: (15/21)
==> (2022, 8, 13, 1, 41, 44) | [log] 下载图片并保存为./out/capture003/page15..jpg完成...
==> (2022, 8, 13, 1, 41, 44) | [log] !图片进度: (16/21)
==> (2022, 8, 13, 1, 41, 45) | [log] 下载图片并保存为./out/capture003/page16..jpg完成...
==> (2022, 8, 13, 1, 41, 45) | [log] !图片进度: (17/21)
==> (2022, 8, 13, 1, 41, 46) | [log] 下载图片并保存为./out/capture003/page17..jpg完成...
==> (2022, 8, 13, 1, 41, 46) | [log] !图片进度: (18/21)
==> (2022, 8, 13, 1, 41, 47) | [log] 下载图片并保存为./out/capture003/page18..jpg完成...
==> (2022, 8, 13, 1, 41, 47) | [log] !图片进度: (19/21)
==> (2022, 8, 13, 1, 41, 48) | [log] 下载图片并保存为./out/capture003/page19..jpg完成...
==> (2022, 8, 13, 1, 41, 48) | [log] !图片进度: (20/21)
==> (2022, 8, 13, 1, 41, 49) | [log] 下载图片并保存为./out/capture003/page20..jpg完成...
==> (2022, 8, 13, 1, 41, 49) | [log] !图片进度: (21/21)
==> (2022, 8, 13, 1, 41, 50) | [log] 下载图片并保存为./out/capture003/page21..jpg完成...
==> (2022, 8, 13, 1, 41, 50) | [log] !!!章节进度: 4(1-232) (4/232)
==> (2022, 8, 13, 1, 41, 50) | [debug] 创建目录./out/capture004/
